,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,auction-gym,Jupyter Notebook
45,augment-the-pairs-wacv2024,Python
46,autotrail,Python
47,aws-apigateway-client-lib,
48,aws-sigv4-signing-samples,Java
49,awsssmchaosrunner,Kotlin
50,basis-point-sets,Python
51,buy-with-prime-automate-tenant-validation,JavaScript
52,buy-with-prime-cdk-constructs,TypeScript
53,buy-with-prime-event-accelerator,Python
54,buy-with-prime-monitoring-sample-cdk,TypeScript
55,buy-with-prime-oauth-handler-ec2,JavaScript
56,buy-with-prime-saas-integration,TypeScript
57,chalet-charging-location-for-electric-trucks,Python
58,computer-vision-basics-in-microsoft-excel,
59,confident-sinkhorn-allocation,Jupyter Notebook
60,convolutional-handwriting-gan,Python
61,cosearcher,Python
62,credence-to-causal-estimation,Python
63,data-jack-knife,Java
64,debiased-balanced-interleaving,Jupyter Notebook
65,differential-privacy-bayesian-optimization,Python
66,distance-assistant,Python
67,drs-sample-android-app,Java
68,drs-sample-ios-app,Objective-C
69,emukit-playground,JavaScript
70,eslint-plugin-no-date-parsing,TypeScript
71,exoplayer-amazon-port,Java
72,explainable-text-vqa,
73,faithful-data2text-cycle-training,Python
74,fashion-attribute-disentanglement,Python
75,fire-app-builder,Java
76,firetv-sample-touch-app,Java
77,ftv-integration-sdk-sample-app,Kotlin
78,ftv-livetv-sample-tv-app,Java
79,gameon-sample-game-unity,C#
80,gameon-starter-kit-unity,C#
81,git-commit-template,JavaScript
82,glad,JavaScript
83,golang-gitoperations,Go
84,halo-third-party-sdk-for-java,Java
85,halo-third-party-sdk-for-node-js,TypeScript
86,halo-third-party-sdk-for-python,Python
87,hawktracer,C++
88,image-misspell-coling2020,
89,image-to-recipe-transformers,Python
